  0.00000000e+000  3.89094116e+000  7.76838811e+000  1.16178519e+001  1.54228748e+001  1.91641440e+001  2.28188682e+001  2.63607960e+001  2.97615889e+001  3.29946755e+001  3.60425680e+001  3.89030563e+001  4.15428809e+001
  0.00000000e+000  3.76510710e+000  7.50528248e+000  1.11936739e+001  1.47995650e+001  1.82864170e+001  2.16099503e+001  2.47162613e+001  2.75394497e+001  2.99961232e+001  3.19681361e+001  3.32552214e+001  3.35127853e+001
  0.00000000e+000  3.74181024e+000  7.45551283e+000  1.11103877e+001  1.46702772e+001  1.80903564e+001  2.13133947e+001  2.42657130e+001  2.68539401e+001  2.89658582e+001  3.04819530e+001  3.12960909e+001  3.12177347e+001
  0.00000000e+000  3.83287832e+000  7.64515520e+000  1.14138593e+001  1.51108815e+001  1.86993147e+001  2.21282160e+001  2.53248458e+001  2.81834534e+001  3.05515952e+001  3.22266404e+001  3.30339938e+001  3.33522932e+001
  0.00000000e+000  4.00657412e+000  8.00920830e+000  1.20032761e+001  1.59825451e+001  1.99376552e+001  2.38532409e+001  2.77019345e+001  3.14307739e+001  3.49276590e+001  3.79305742e+001  3.97544377e+001  3.83604842e+001
  0.00000000e+000  4.19549483e+000  8.40610223e+000  1.26486384e+001  1.69436155e+001  2.13179030e+001  2.58086612e+001  3.04696472e+001  3.53820895e+001  4.06750990e+001  4.65689173e+001  5.34859123e+001  6.24221894e+001
  0.00000000e+000  4.32369452e+000  8.67495778e+000  1.30844330e+001  1.75894400e+001  2.22388215e+001  2.71002515e+001  3.22724084e+001  3.79072631e+001  4.42549578e+001  5.17627870e+001  6.13103833e+001  7.47867866e+001
  0.00000000e+000  4.34101769e+000  8.71014639e+000  1.31381137e+001  1.76610934e+001  2.23239389e+001  2.71839024e+001  3.23145233e+001  3.78079870e+001  4.37696800e+001  5.02834460e+001  5.72753153e+001  6.40377028e+001
  0.00000000e+000  4.24397355e+000  8.50590441e+000  1.28049693e+001  1.71626807e+001  2.16036782e+001  2.61556532e+001  3.08471566e+001  3.57004947e+001  4.07137873e+001  4.58208743e+001  5.08134695e+001  5.52313949e+001
  0.00000000e+000  4.07268155e+000  8.14765358e+000  1.22271771e+001  1.63133735e+001  2.04079497e+001  2.45117077e+001  2.86240358e+001  3.27435414e+001  3.68741703e+001  4.10504806e+001  4.54210058e+001  5.04968809e+001
