7.3266e-001	1.0467e+000	1.3607e+000	1.6747e+000	1.9887e+000	2.3026e+000	2.6166e+000	2.9306e+000	2.6642e+000	2.3978e+000	2.1314e+000	1.8650e+000	1.5985e+000	1.3321e+000	1.0657e+000	7.9927e-001	5.3284e-001	2.6642e-001	0.0000e+000	
7.8240e-001	1.0964e+000	1.4104e+000	1.7244e+000	2.0384e+000	2.3524e+000	2.6664e+000	2.9804e+000	2.7140e+000	2.4475e+000	2.1811e+000	1.9147e+000	1.6483e+000	1.3819e+000	1.1154e+000	8.4901e-001	5.8259e-001	3.1616e-001	4.9742e-002	
8.3214e-001	1.1461e+000	1.4601e+000	1.7741e+000	2.0881e+000	2.4021e+000	2.7161e+000	3.0301e+000	2.7637e+000	2.4973e+000	2.2309e+000	1.9644e+000	1.6980e+000	1.4316e+000	1.1652e+000	8.9875e-001	6.3233e-001	3.6591e-001	9.9484e-002	
8.8189e-001	1.1959e+000	1.5099e+000	1.8239e+000	2.1379e+000	2.4519e+000	2.7659e+000	3.0799e+000	2.8134e+000	2.5470e+000	2.2806e+000	2.0142e+000	1.7478e+000	1.4813e+000	1.2149e+000	9.4849e-001	6.8207e-001	4.1565e-001	1.4923e-001	
9.3163e-001	1.2456e+000	1.5596e+000	1.8736e+000	2.1876e+000	2.5016e+000	2.8156e+000	3.1296e+000	2.8632e+000	2.5968e+000	2.3303e+000	2.0639e+000	1.7975e+000	1.5311e+000	1.2647e+000	9.9823e-001	7.3181e-001	4.6539e-001	1.9897e-001	
9.8137e-001	1.2954e+000	1.6094e+000	1.9234e+000	2.2374e+000	2.5514e+000	2.8654e+000	3.1794e+000	2.9129e+000	2.6465e+000	2.3801e+000	2.1137e+000	1.8472e+000	1.5808e+000	1.3144e+000	1.0480e+000	7.8155e-001	5.1513e-001	2.4871e-001	
1.0311e+000	1.3451e+000	1.6591e+000	1.9731e+000	2.2871e+000	2.6011e+000	2.9151e+000	3.2291e+000	2.9627e+000	2.6962e+000	2.4298e+000	2.1634e+000	1.8970e+000	1.6306e+000	1.3641e+000	1.0977e+000	8.3130e-001	5.6487e-001	2.9845e-001	
1.0809e+000	1.3949e+000	1.7088e+000	2.0228e+000	2.3368e+000	2.6508e+000	2.9648e+000	3.2788e+000	3.0124e+000	2.7460e+000	2.4796e+000	2.2131e+000	1.9467e+000	1.6803e+000	1.4139e+000	1.1475e+000	8.8104e-001	6.1462e-001	3.4819e-001	
1.1306e+000	1.4446e+000	1.7586e+000	2.0726e+000	2.3866e+000	2.7006e+000	3.0146e+000	3.3286e+000	3.0622e+000	2.7957e+000	2.5293e+000	2.2629e+000	1.9965e+000	1.7300e+000	1.4636e+000	1.1972e+000	9.3078e-001	6.6436e-001	3.9794e-001	
1.1847e+000	1.4987e+000	1.8127e+000	2.1267e+000	2.4407e+000	2.7547e+000	3.0687e+000	3.3827e+000	3.1163e+000	2.8498e+000	2.5834e+000	2.3170e+000	2.0506e+000	1.7842e+000	1.5177e+000	1.2513e+000	9.8488e-001	7.1846e-001	4.5204e-001	
1.2388e+000	1.5528e+000	1.8668e+000	2.1808e+000	2.4948e+000	2.8088e+000	3.1228e+000	3.4368e+000	3.1704e+000	2.9039e+000	2.6375e+000	2.3711e+000	2.1047e+000	1.8383e+000	1.5718e+000	1.3054e+000	1.0390e+000	7.7257e-001	5.0615e-001	
1.2929e+000	1.6069e+000	1.9209e+000	2.2349e+000	2.5489e+000	2.8629e+000	3.1769e+000	3.4909e+000	3.2245e+000	2.9580e+000	2.6916e+000	2.4252e+000	2.1588e+000	1.8924e+000	1.6259e+000	1.3595e+000	1.0931e+000	8.2667e-001	5.6025e-001	
1.3470e+000	1.6610e+000	1.9750e+000	2.2890e+000	2.6030e+000	2.9170e+000	3.2310e+000	3.5450e+000	3.2786e+000	3.0122e+000	2.7457e+000	2.4793e+000	2.2129e+000	1.9465e+000	1.6800e+000	1.4136e+000	1.1472e+000	8.8078e-001	6.1436e-001	
1.4011e+000	1.7151e+000	2.0291e+000	2.3431e+000	2.6571e+000	2.9711e+000	3.2851e+000	3.5991e+000	3.3327e+000	3.0663e+000	2.7998e+000	2.5334e+000	2.2670e+000	2.0006e+000	1.7341e+000	1.4677e+000	1.2013e+000	9.3488e-001	6.6846e-001	
1.4552e+000	1.7692e+000	2.0832e+000	2.3972e+000	2.7112e+000	3.0252e+000	3.3392e+000	3.6532e+000	3.3868e+000	3.1204e+000	2.8539e+000	2.5875e+000	2.3211e+000	2.0547e+000	1.7883e+000	1.5218e+000	1.2554e+000	9.8899e-001	7.2257e-001	
1.5093e+000	1.8233e+000	2.1373e+000	2.4513e+000	2.7653e+000	3.0793e+000	3.3933e+000	3.7073e+000	3.4409e+000	3.1745e+000	2.9080e+000	2.6416e+000	2.3752e+000	2.1088e+000	1.8424e+000	1.5759e+000	1.3095e+000	1.0431e+000	7.7667e-001	
1.5634e+000	1.8774e+000	2.1914e+000	2.5054e+000	2.8194e+000	3.1334e+000	3.4474e+000	3.7614e+000	3.4950e+000	3.2286e+000	2.9622e+000	2.6957e+000	2.4293e+000	2.1629e+000	1.8965e+000	1.6300e+000	1.3636e+000	1.0972e+000	8.3078e-001	
1.6175e+000	1.9315e+000	2.2455e+000	2.5595e+000	2.8735e+000	3.1875e+000	3.5015e+000	3.8155e+000	3.5491e+000	3.2827e+000	3.0163e+000	2.7498e+000	2.4834e+000	2.2170e+000	1.9506e+000	1.6841e+000	1.4177e+000	1.1513e+000	8.8488e-001	
