0.0000e+000	-1.0825e-001	-2.1649e-001	-3.2474e-001	-4.3298e-001	-5.4123e-001	-6.4947e-001	
5.2360e-002	-5.5886e-002	-1.6413e-001	-2.7238e-001	-3.8062e-001	-4.8887e-001	-5.9711e-001	
1.0472e-001	-3.5257e-003	-1.1177e-001	-2.2002e-001	-3.2826e-001	-4.3651e-001	-5.4475e-001	
1.5708e-001	4.8834e-002	-5.9411e-002	-1.6766e-001	-2.7590e-001	-3.8415e-001	-4.9239e-001	
2.0944e-001	1.0119e-001	-7.0514e-003	-1.1530e-001	-2.2354e-001	-3.3179e-001	-4.4003e-001	
2.6180e-001	1.5355e-001	4.5308e-002	-6.2937e-002	-1.7118e-001	-2.7943e-001	-3.8767e-001	
3.1416e-001	2.0591e-001	9.7668e-002	-1.0577e-002	-1.1882e-001	-2.2707e-001	-3.3531e-001	
3.6652e-001	2.5827e-001	1.5003e-001	4.1783e-002	-6.6463e-002	-1.7471e-001	-2.8295e-001	
4.1888e-001	3.1063e-001	2.0239e-001	9.4143e-002	-1.4103e-002	-1.2235e-001	-2.3059e-001	
4.7124e-001	3.6299e-001	2.5475e-001	1.4650e-001	3.8257e-002	-6.9988e-002	-1.7823e-001	
5.2360e-001	4.1535e-001	3.0711e-001	1.9886e-001	9.0617e-002	-1.7629e-002	-1.2587e-001	
5.7596e-001	4.6771e-001	3.5947e-001	2.5122e-001	1.4298e-001	3.4731e-002	-7.3514e-002	
6.2832e-001	5.2007e-001	4.1183e-001	3.0358e-001	1.9534e-001	8.7091e-002	-2.1154e-002	
6.8068e-001	5.7243e-001	4.6419e-001	3.5594e-001	2.4770e-001	1.3945e-001	3.1206e-002	
7.3304e-001	6.2479e-001	5.1655e-001	4.0830e-001	3.0006e-001	1.9181e-001	8.3565e-002	
7.8540e-001	6.7715e-001	5.6891e-001	4.6066e-001	3.5242e-001	2.4417e-001	1.3593e-001	
8.3776e-001	7.2951e-001	6.2127e-001	5.1302e-001	4.0478e-001	2.9653e-001	1.8829e-001	
8.9012e-001	7.8187e-001	6.7363e-001	5.6538e-001	4.5714e-001	3.4889e-001	2.4065e-001	
9.4248e-001	8.3423e-001	7.2599e-001	6.1774e-001	5.0950e-001	4.0125e-001	2.9300e-001	
9.9484e-001	8.8659e-001	7.7835e-001	6.7010e-001	5.6186e-001	4.5361e-001	3.4536e-001	
1.0472e+000	9.3895e-001	8.3071e-001	7.2246e-001	6.1422e-001	5.0597e-001	3.9772e-001	
1.0996e+000	9.9131e-001	8.8307e-001	7.7482e-001	6.6658e-001	5.5833e-001	4.5008e-001	
1.1519e+000	1.0437e+000	9.3543e-001	8.2718e-001	7.1894e-001	6.1069e-001	5.0244e-001	
1.2043e+000	1.0960e+000	9.8779e-001	8.7954e-001	7.7130e-001	6.6305e-001	5.5480e-001	
1.2566e+000	1.1484e+000	1.0401e+000	9.3190e-001	8.2366e-001	7.1541e-001	6.0716e-001	
1.3090e+000	1.2008e+000	1.0925e+000	9.8426e-001	8.7602e-001	7.6777e-001	6.5952e-001	
1.3614e+000	1.2531e+000	1.1449e+000	1.0366e+000	9.2837e-001	8.2013e-001	7.1188e-001	
1.4137e+000	1.3055e+000	1.1972e+000	1.0890e+000	9.8073e-001	8.7249e-001	7.6424e-001	
1.4661e+000	1.3578e+000	1.2496e+000	1.1413e+000	1.0331e+000	9.2485e-001	8.1660e-001	
1.5184e+000	1.4102e+000	1.3019e+000	1.1937e+000	1.0855e+000	9.7721e-001	8.6896e-001	
1.5708e+000	1.4626e+000	1.3543e+000	1.2461e+000	1.1378e+000	1.0296e+000	9.2132e-001	
1.6232e+000	1.5149e+000	1.4067e+000	1.2984e+000	1.1902e+000	1.0819e+000	9.7368e-001	
1.6755e+000	1.5673e+000	1.4590e+000	1.3508e+000	1.2425e+000	1.1343e+000	1.0260e+000	
1.7279e+000	1.6196e+000	1.5114e+000	1.4031e+000	1.2949e+000	1.1866e+000	1.0784e+000	
1.7802e+000	1.6720e+000	1.5637e+000	1.4555e+000	1.3473e+000	1.2390e+000	1.1308e+000	
1.8326e+000	1.7244e+000	1.6161e+000	1.5079e+000	1.3996e+000	1.2914e+000	1.1831e+000	
1.8850e+000	1.7767e+000	1.6685e+000	1.5602e+000	1.4520e+000	1.3437e+000	1.2355e+000	
1.9373e+000	1.8291e+000	1.7208e+000	1.6126e+000	1.5043e+000	1.3961e+000	1.2878e+000	
1.9897e+000	1.8814e+000	1.7732e+000	1.6649e+000	1.5567e+000	1.4484e+000	1.3402e+000	
2.0420e+000	1.9338e+000	1.8255e+000	1.7173e+000	1.6091e+000	1.5008e+000	1.3926e+000	
2.0944e+000	1.9861e+000	1.8779e+000	1.7697e+000	1.6614e+000	1.5532e+000	1.4449e+000	
2.1468e+000	2.0385e+000	1.9303e+000	1.8220e+000	1.7138e+000	1.6055e+000	1.4973e+000	
2.1991e+000	2.0909e+000	1.9826e+000	1.8744e+000	1.7661e+000	1.6579e+000	1.5496e+000	
2.2515e+000	2.1432e+000	2.0350e+000	1.9267e+000	1.8185e+000	1.7102e+000	1.6020e+000	
2.3038e+000	2.1956e+000	2.0873e+000	1.9791e+000	1.8709e+000	1.7626e+000	1.6544e+000	
2.3562e+000	2.2479e+000	2.1397e+000	2.0315e+000	1.9232e+000	1.8150e+000	1.7067e+000	
2.4086e+000	2.3003e+000	2.1921e+000	2.0838e+000	1.9756e+000	1.8673e+000	1.7591e+000	
2.4609e+000	2.3527e+000	2.2444e+000	2.1362e+000	2.0279e+000	1.9197e+000	1.8114e+000	
