1.8317e-001	2.3811e-001	2.9306e-001	3.4801e-001	4.0296e-001	4.5791e-001	5.1286e-001	5.6781e-001	6.2276e-001	6.7771e-001	7.3266e-001	
2.3291e-001	2.8786e-001	3.4281e-001	3.9776e-001	4.5271e-001	5.0765e-001	5.6260e-001	6.1755e-001	6.7250e-001	7.2745e-001	7.8240e-001	
2.8265e-001	3.3760e-001	3.9255e-001	4.4750e-001	5.0245e-001	5.5740e-001	6.1235e-001	6.6730e-001	7.2225e-001	7.7719e-001	8.3214e-001	
3.3239e-001	3.8734e-001	4.4229e-001	4.9724e-001	5.5219e-001	6.0714e-001	6.6209e-001	7.1704e-001	7.7199e-001	8.2694e-001	8.8189e-001	
3.8213e-001	4.3708e-001	4.9203e-001	5.4698e-001	6.0193e-001	6.5688e-001	7.1183e-001	7.6678e-001	8.2173e-001	8.7668e-001	9.3163e-001	
4.3187e-001	4.8682e-001	5.4177e-001	5.9672e-001	6.5167e-001	7.0662e-001	7.6157e-001	8.1652e-001	8.7147e-001	9.2642e-001	9.8137e-001	
4.8162e-001	5.3657e-001	5.9152e-001	6.4647e-001	7.0141e-001	7.5636e-001	8.1131e-001	8.6626e-001	9.2121e-001	9.7616e-001	1.0311e+000	
5.3136e-001	5.8631e-001	6.4126e-001	6.9621e-001	7.5116e-001	8.0611e-001	8.6106e-001	9.1601e-001	9.7095e-001	1.0259e+000	1.0809e+000	
5.8110e-001	6.3605e-001	6.9100e-001	7.4595e-001	8.0090e-001	8.5585e-001	9.1080e-001	9.6575e-001	1.0207e+000	1.0756e+000	1.1306e+000	
6.3521e-001	6.9015e-001	7.4510e-001	8.0005e-001	8.5500e-001	9.0995e-001	9.6490e-001	1.0199e+000	1.0748e+000	1.1298e+000	1.1847e+000	
6.8931e-001	7.4426e-001	7.9921e-001	8.5416e-001	9.0911e-001	9.6406e-001	1.0190e+000	1.0740e+000	1.1289e+000	1.1839e+000	1.2388e+000	
7.4342e-001	7.9837e-001	8.5331e-001	9.0826e-001	9.6321e-001	1.0182e+000	1.0731e+000	1.1281e+000	1.1830e+000	1.2380e+000	1.2929e+000	
7.9752e-001	8.5247e-001	9.0742e-001	9.6237e-001	1.0173e+000	1.0723e+000	1.1272e+000	1.1822e+000	1.2371e+000	1.2921e+000	1.3470e+000	
8.5163e-001	9.0658e-001	9.6153e-001	1.0165e+000	1.0714e+000	1.1264e+000	1.1813e+000	1.2363e+000	1.2912e+000	1.3462e+000	1.4011e+000	
9.0573e-001	9.6068e-001	1.0156e+000	1.0706e+000	1.1255e+000	1.1805e+000	1.2354e+000	1.2904e+000	1.3453e+000	1.4003e+000	1.4552e+000	
9.5984e-001	1.0148e+000	1.0697e+000	1.1247e+000	1.1796e+000	1.2346e+000	1.2895e+000	1.3445e+000	1.3994e+000	1.4544e+000	1.5093e+000	
1.0139e+000	1.0689e+000	1.1238e+000	1.1788e+000	1.2337e+000	1.2887e+000	1.3436e+000	1.3986e+000	1.4535e+000	1.5085e+000	1.5634e+000	
1.0680e+000	1.1230e+000	1.1779e+000	1.2329e+000	1.2878e+000	1.3428e+000	1.3977e+000	1.4527e+000	1.5076e+000	1.5626e+000	1.6175e+000	
1.1222e+000	1.1771e+000	1.2321e+000	1.2870e+000	1.3420e+000	1.3969e+000	1.4518e+000	1.5068e+000	1.5617e+000	1.6167e+000	1.6716e+000	
1.1763e+000	1.2312e+000	1.2862e+000	1.3411e+000	1.3961e+000	1.4510e+000	1.5060e+000	1.5609e+000	1.6159e+000	1.6708e+000	1.7258e+000	
1.2304e+000	1.2853e+000	1.3403e+000	1.3952e+000	1.4502e+000	1.5051e+000	1.5601e+000	1.6150e+000	1.6700e+000	1.7249e+000	1.7799e+000	
1.2801e+000	1.3351e+000	1.3900e+000	1.4450e+000	1.4999e+000	1.5549e+000	1.6098e+000	1.6648e+000	1.7197e+000	1.7747e+000	1.8296e+000	
1.3298e+000	1.3848e+000	1.4397e+000	1.4947e+000	1.5496e+000	1.6046e+000	1.6595e+000	1.7145e+000	1.7694e+000	1.8244e+000	1.8793e+000	
1.3796e+000	1.4345e+000	1.4895e+000	1.5444e+000	1.5994e+000	1.6543e+000	1.7093e+000	1.7642e+000	1.8192e+000	1.8741e+000	1.9291e+000	
1.4293e+000	1.4843e+000	1.5392e+000	1.5942e+000	1.6491e+000	1.7041e+000	1.7590e+000	1.8140e+000	1.8689e+000	1.9239e+000	1.9788e+000	
1.4791e+000	1.5340e+000	1.5890e+000	1.6439e+000	1.6989e+000	1.7538e+000	1.8088e+000	1.8637e+000	1.9187e+000	1.9736e+000	2.0286e+000	
1.5288e+000	1.5838e+000	1.6387e+000	1.6937e+000	1.7486e+000	1.8036e+000	1.8585e+000	1.9135e+000	1.9684e+000	2.0234e+000	2.0783e+000	
1.5786e+000	1.6335e+000	1.6885e+000	1.7434e+000	1.7984e+000	1.8533e+000	1.9083e+000	1.9632e+000	2.0182e+000	2.0731e+000	2.1281e+000	
1.6283e+000	1.6832e+000	1.7382e+000	1.7931e+000	1.8481e+000	1.9030e+000	1.9580e+000	2.0129e+000	2.0679e+000	2.1228e+000	2.1778e+000	
1.6824e+000	1.7374e+000	1.7923e+000	1.8473e+000	1.9022e+000	1.9572e+000	2.0121e+000	2.0670e+000	2.1220e+000	2.1769e+000	2.2319e+000	
1.7365e+000	1.7915e+000	1.8464e+000	1.9014e+000	1.9563e+000	2.0113e+000	2.0662e+000	2.1212e+000	2.1761e+000	2.2311e+000	2.2860e+000	
