0.0000e+000	-2.4516e-001	-4.7023e-001	-6.7824e-001	-8.7161e-001	-1.0523e+000	-1.1489e+000	-1.2422e+000	-1.3325e+000	-1.4199e+000	-1.5046e+000	-1.5868e+000	-1.6666e+000	-1.7441e+000	-1.8195e+000	-1.8929e+000	-1.9644e+000	-2.0341e+000	-2.1020e+000	-2.1683e+000	-2.2331e+000	-2.2964e+000	-2.3161e+000	-2.3358e+000	
5.2360e-002	-1.9280e-001	-4.1787e-001	-6.2588e-001	-8.1925e-001	-9.9990e-001	-1.0965e+000	-1.1899e+000	-1.2802e+000	-1.3676e+000	-1.4523e+000	-1.5344e+000	-1.6142e+000	-1.6918e+000	-1.7672e+000	-1.8406e+000	-1.9121e+000	-1.9817e+000	-2.0497e+000	-2.1160e+000	-2.1807e+000	-2.2440e+000	-2.2638e+000	-2.2834e+000	
1.0472e-001	-1.4044e-001	-3.6551e-001	-5.7352e-001	-7.6689e-001	-9.4754e-001	-1.0442e+000	-1.1375e+000	-1.2278e+000	-1.3152e+000	-1.3999e+000	-1.4821e+000	-1.5619e+000	-1.6394e+000	-1.7148e+000	-1.7882e+000	-1.8597e+000	-1.9294e+000	-1.9973e+000	-2.0636e+000	-2.1284e+000	-2.1916e+000	-2.2114e+000	-2.2311e+000	
1.5708e-001	-8.8081e-002	-3.1315e-001	-5.2116e-001	-7.1453e-001	-8.9518e-001	-9.9181e-001	-1.0852e+000	-1.1754e+000	-1.2628e+000	-1.3475e+000	-1.4297e+000	-1.5095e+000	-1.5871e+000	-1.6625e+000	-1.7359e+000	-1.8073e+000	-1.8770e+000	-1.9450e+000	-2.0113e+000	-2.0760e+000	-2.1393e+000	-2.1591e+000	-2.1787e+000	
2.0944e-001	-3.5721e-002	-2.6079e-001	-4.6880e-001	-6.6217e-001	-8.4282e-001	-9.3945e-001	-1.0328e+000	-1.1231e+000	-1.2105e+000	-1.2952e+000	-1.3774e+000	-1.4572e+000	-1.5347e+000	-1.6101e+000	-1.6835e+000	-1.7550e+000	-1.8247e+000	-1.8926e+000	-1.9589e+000	-2.0237e+000	-2.0869e+000	-2.1067e+000	-2.1263e+000	
2.6180e-001	1.6639e-002	-2.0843e-001	-4.1644e-001	-6.0981e-001	-7.9046e-001	-8.8709e-001	-9.8044e-001	-1.0707e+000	-1.1581e+000	-1.2428e+000	-1.3250e+000	-1.4048e+000	-1.4823e+000	-1.5577e+000	-1.6311e+000	-1.7026e+000	-1.7723e+000	-1.8402e+000	-1.9066e+000	-1.9713e+000	-2.0346e+000	-2.0543e+000	-2.0740e+000	
3.1416e-001	6.8999e-002	-1.5607e-001	-3.6408e-001	-5.5745e-001	-7.3810e-001	-8.3473e-001	-9.2808e-001	-1.0184e+000	-1.1058e+000	-1.1905e+000	-1.2726e+000	-1.3524e+000	-1.4300e+000	-1.5054e+000	-1.5788e+000	-1.6503e+000	-1.7199e+000	-1.7879e+000	-1.8542e+000	-1.9189e+000	-1.9822e+000	-2.0020e+000	-2.0216e+000	
3.6652e-001	1.2136e-001	-1.0371e-001	-3.1172e-001	-5.0509e-001	-6.8574e-001	-7.8237e-001	-8.7572e-001	-9.6599e-001	-1.0534e+000	-1.1381e+000	-1.2203e+000	-1.3001e+000	-1.3776e+000	-1.4530e+000	-1.5264e+000	-1.5979e+000	-1.6676e+000	-1.7355e+000	-1.8018e+000	-1.8666e+000	-1.9298e+000	-1.9496e+000	-1.9693e+000	
4.1888e-001	1.7372e-001	-5.1347e-002	-2.5936e-001	-4.5273e-001	-6.3338e-001	-7.3001e-001	-8.2336e-001	-9.1363e-001	-1.0010e+000	-1.0857e+000	-1.1679e+000	-1.2477e+000	-1.3253e+000	-1.4007e+000	-1.4741e+000	-1.5455e+000	-1.6152e+000	-1.6832e+000	-1.7495e+000	-1.8142e+000	-1.8775e+000	-1.8973e+000	-1.9169e+000	
4.7124e-001	2.2608e-001	1.0129e-003	-2.0700e-001	-4.0037e-001	-5.8102e-001	-6.7765e-001	-7.7100e-001	-8.6127e-001	-9.4868e-001	-1.0334e+000	-1.1156e+000	-1.1954e+000	-1.2729e+000	-1.3483e+000	-1.4217e+000	-1.4932e+000	-1.5629e+000	-1.6308e+000	-1.6971e+000	-1.7619e+000	-1.8251e+000	-1.8449e+000	-1.8645e+000	
5.2360e-001	2.7844e-001	5.3373e-002	-1.5464e-001	-3.4801e-001	-5.2866e-001	-6.2529e-001	-7.1864e-001	-8.0891e-001	-8.9632e-001	-9.8103e-001	-1.0632e+000	-1.1430e+000	-1.2205e+000	-1.2959e+000	-1.3693e+000	-1.4408e+000	-1.5105e+000	-1.5784e+000	-1.6448e+000	-1.7095e+000	-1.7728e+000	-1.7925e+000	-1.8122e+000	
5.7596e-001	3.3080e-001	1.0573e-001	-1.0228e-001	-2.9565e-001	-4.7630e-001	-5.7293e-001	-6.6628e-001	-7.5655e-001	-8.4396e-001	-9.2867e-001	-1.0108e+000	-1.0906e+000	-1.1682e+000	-1.2436e+000	-1.3170e+000	-1.3885e+000	-1.4581e+000	-1.5261e+000	-1.5924e+000	-1.6571e+000	-1.7204e+000	-1.7402e+000	-1.7598e+000	
6.2832e-001	3.8316e-001	1.5809e-001	-4.9924e-002	-2.4329e-001	-4.2394e-001	-5.2057e-001	-6.1392e-001	-7.0419e-001	-7.9160e-001	-8.7631e-001	-9.5849e-001	-1.0383e+000	-1.1158e+000	-1.1912e+000	-1.2646e+000	-1.3361e+000	-1.4058e+000	-1.4737e+000	-1.5400e+000	-1.6048e+000	-1.6680e+000	-1.6878e+000	-1.7075e+000	
