  2.23094296e+005  2.23196297e+005  3.57092621e+005  5.61906880e+005  7.53147010e+005  9.15805993e+005  1.08154626e+006  1.29343926e+006  1.14007595e+006  1.03022926e+006  9.30772668e+005  8.20498018e+005  6.98038816e+005  5.68431063e+005  4.31157854e+005  2.83475615e+005  1.45809943e+005  7.31002226e+004  8.95198216e+004
  2.23093378e+005  2.38674369e+005  3.89862880e+005  5.97492990e+005  7.84354093e+005  9.45912035e+005  1.11945410e+006  1.33464846e+006  1.17362113e+006  1.05611099e+006  9.55642703e+005  8.47274696e+005  7.26318927e+005  5.97410793e+005  4.61429179e+005  3.14708203e+005  1.71298945e+005  8.38203881e+004  8.95226056e+004
  2.23097738e+005  2.56263251e+005  4.24265272e+005  6.32898645e+005  8.15129407e+005  9.77007362e+005  1.15835575e+006  1.37316959e+006  1.20890491e+006  1.08307991e+006  9.80571737e+005  8.73797655e+005  7.54458445e+005  6.26295207e+005  4.91481098e+005  3.46312400e+005  1.98575230e+005  9.63089411e+004  8.95322201e+004
  2.23106401e+005  2.76351509e+005  4.60244500e+005  6.67865965e+005  8.45635695e+005  1.00916684e+006  1.19772748e+006  1.40897649e+006  1.24515519e+006  1.11132157e+006  1.00568731e+006  9.00102446e+005  7.82445886e+005  6.55103596e+005  5.21267794e+005  3.78045664e+005  2.27684347e+005  1.10899172e+005  8.95484822e+004
  2.23118998e+005  2.99457063e+005  4.97592393e+005  7.02158563e+005  8.76077999e+005  1.04235163e+006  1.23716421e+006  1.44195447e+006  1.28179047e+006  1.14082508e+006  1.03114639e+006  9.26232518e+005  8.10272615e+005  6.83854229e+005  5.50799678e+005  4.09621624e+005  2.58545105e+005  1.28066165e+005  8.95697538e+004
  2.23135748e+005  3.26247241e+005  5.35884265e+005  7.35616001e+005  9.06672894e+005  1.07644408e+006  1.27635261e+006  1.47188867e+006  1.31836767e+006  1.17146903e+006  1.05708235e+006  9.52248906e+005  8.37935822e+005  7.12549704e+005  5.80148995e+005  4.40763938e+005  2.90867312e+005  1.48454581e+005  8.95959585e+004
  2.23157641e+005  3.57566366e+005  5.74392566e+005  7.68238568e+005  9.37603242e+005  1.11127979e+006  1.31504776e+006  1.49844855e+006  1.35453946e+006  1.20307869e+006  1.08358385e+006  9.78221578e+005  8.65448387e+005  7.41168061e+005  6.09424900e+005  4.71307388e+005  3.24037655e+005  1.72914834e+005  8.96328878e+004
  2.23186949e+005  3.94471912e+005  6.11969467e+005  8.00320927e+005  9.68934614e+005  1.14669534e+006  1.35304396e+006  1.52117208e+006  1.39001815e+006  1.23546253e+006  1.11069250e+006  1.00421598e+006  8.92840037e+005  7.69683456e+005  6.38686386e+005  5.01373493e+005  3.56957946e+005  2.02558600e+005  8.96761435e+004
  2.23228301e+005  4.38280447e+005  6.46889378e+005  8.32657476e+005  1.00046189e+006  1.18262004e+006  1.39012144e+006  1.53945909e+006  1.42454252e+006  1.26843587e+006  1.13840617e+006  1.03029329e+006  9.20122012e+005  7.98158158e+005  6.67747317e+005  5.31647967e+005  3.87846386e+005  2.38764451e+005  8.98658991e+004
  2.23208344e+005  4.39157296e+005  6.39445055e+005  8.12539710e+005  9.76634685e+005  1.15862394e+006  1.37941157e+006  1.37923325e+006  1.41375825e+006  1.24859044e+006  1.11960126e+006  1.01053295e+006  9.01608744e+005  7.80541174e+005  6.51705706e+005  5.21218823e+005  3.85290832e+005  2.39626568e+005  8.97353913e+004
  2.23196927e+005  4.38695237e+005  6.28216863e+005  7.89811917e+005  9.50616315e+005  1.14061977e+006  1.33961781e+006  1.24711926e+006  1.37005121e+006  1.23359681e+006  1.09861748e+006  9.90368458e+005  8.82524561e+005  7.62438860e+005  6.34156458e+005  5.07838185e+005  3.80195598e+005  2.39889843e+005  8.97354037e+004
  2.23189643e+005  4.36425286e+005  6.13126762e+005  7.64187642e+005  9.25122054e+005  1.12111122e+006  1.28184092e+006  1.14065792e+006  1.30711706e+006  1.21434146e+006  1.07798532e+006  9.69035467e+005  8.62956004e+005  7.43962799e+005  6.15494107e+005  4.91635190e+005  3.72158997e+005  2.39210459e+005  8.97332027e+004
  2.23184256e+005  4.31893369e+005  5.93890869e+005  7.36312976e+005  9.00600831e+005  1.09626557e+006  1.21458762e+006  1.05768821e+006  1.23506334e+006  1.18692440e+006  1.05726805e+006  9.46804019e+005  8.42661058e+005  7.25226844e+005  5.96118141e+005  4.72862473e+005  3.60802962e+005  2.37169044e+005  8.97347665e+004
  2.23179574e+005  4.24545533e+005  5.70334932e+005  7.07071079e+005  8.76424440e+005  1.06468888e+006  1.14435426e+006  9.96258995e+005  1.16130053e+006  1.15068040e+006  1.03498170e+006  9.23943024e+005  8.21478015e+005  7.06211225e+005  5.76433184e+005  4.51911817e+005  3.45793363e+005  2.33269909e+005  8.97351350e+004
  2.23174899e+005  4.13699308e+005  5.42500359e+005  6.77277752e+005  8.51585391e+005  1.02656287e+006  1.07608035e+006  9.54546194e+005  1.09121041e+006  1.10684828e+006  1.00962296e+006  9.00392457e+005  7.99362585e+005  6.86786740e+005  5.56785846e+005  4.29336911e+005  3.26879668e+005  2.26906609e+005  8.97345079e+004
  2.23169744e+005  3.98529270e+005  5.10681336e+005  6.47578250e+005  8.25073740e+005  9.83051653e+005  1.01349488e+006  9.30775115e+005  1.02864284e+006  1.05769289e+006  9.80154546e+005  8.75769918e+005  7.76314782e+005  6.66767053e+005  5.37397122e+005  4.05853576e+005  3.03963155e+005  2.17321116e+005  8.97328369e+004
  2.23163676e+005  3.78038326e+005  4.75469922e+005  6.18420279e+005  7.96057898e+005  9.35906729e+005  9.59373411e+005  9.23149718e+005  9.76280336e+005  1.00593926e+006  9.46175449e+005  8.49505344e+005  7.52304091e+005  6.45955544e+005  5.18304532e+005  3.82301400e+005  2.77204717e+005  2.03549520e+005  8.97301145e+004
