  2.23029924e+005  2.23056868e+005  2.23068285e+005  2.23074412e+005  2.23079782e+005  2.23085811e+005  2.23092823e+005  2.23100952e+005  2.23109049e+005  2.23115885e+005  2.23094296e+005
  2.23029150e+005  2.23063067e+005  2.23073856e+005  2.23079241e+005  2.23084243e+005  2.23090038e+005  2.23096881e+005  2.23104685e+005  2.23112705e+005  2.23117531e+005  2.23093378e+005
  2.23033700e+005  2.23069963e+005  2.23079477e+005  2.23083928e+005  2.23088561e+005  2.23094117e+005  2.23100759e+005  2.23108330e+005  2.23116166e+005  2.23119840e+005  2.23097738e+005
  2.23042521e+005  2.23077735e+005  2.23084984e+005  2.23088453e+005  2.23092726e+005  2.23098032e+005  2.23104467e+005  2.23111859e+005  2.23119483e+005  2.23123241e+005  2.23106401e+005
  2.23055165e+005  2.23086257e+005  2.23090211e+005  2.23092807e+005  2.23096723e+005  2.23101772e+005  2.23108006e+005  2.23115249e+005  2.23122731e+005  2.23127763e+005  2.23118998e+005
  2.23071711e+005  2.23095091e+005  2.23095000e+005  2.23097003e+005  2.23100533e+005  2.23105331e+005  2.23111370e+005  2.23118490e+005  2.23125964e+005  2.23133140e+005  2.23135748e+005
  2.23092897e+005  2.23103318e+005  2.23099307e+005  2.23101057e+005  2.23104126e+005  2.23108706e+005  2.23114550e+005  2.23121570e+005  2.23129233e+005  2.23138749e+005  2.23157641e+005
  2.23120521e+005  2.23109089e+005  2.23103463e+005  2.23104897e+005  2.23107495e+005  2.23111895e+005  2.23117544e+005  2.23124446e+005  2.23132685e+005  2.23143350e+005  2.23186949e+005
  2.23158310e+005  2.23108670e+005  2.23108836e+005  2.23108061e+005  2.23110767e+005  2.23114845e+005  2.23120385e+005  2.23126969e+005  2.23136796e+005  2.23144477e+005  2.23228301e+005
  2.23148401e+005  2.23117068e+005  2.23112081e+005  2.23111698e+005  2.23113963e+005  2.23117875e+005  2.23123092e+005  2.23130112e+005  2.23138285e+005  2.23157678e+005  2.23208344e+005
  2.23144396e+005  2.23122105e+005  2.23115409e+005  2.23114898e+005  2.23116938e+005  2.23120609e+005  2.23125686e+005  2.23132443e+005  2.23141461e+005  2.23163026e+005  2.23196927e+005
  2.23143124e+005  2.23125356e+005  2.23118411e+005  2.23117772e+005  2.23119653e+005  2.23123092e+005  2.23127978e+005  2.23134521e+005  2.23144391e+005  2.23164638e+005  2.23189643e+005
  2.23142983e+005  2.23127513e+005  2.23120975e+005  2.23120355e+005  2.23122102e+005  2.23125311e+005  2.23129961e+005  2.23136368e+005  2.23146513e+005  2.23164353e+005  2.23184256e+005
  2.23143113e+005  2.23128870e+005  2.23123107e+005  2.23122668e+005  2.23124287e+005  2.23127253e+005  2.23131646e+005  2.23137902e+005  2.23147762e+005  2.23162983e+005  2.23179574e+005
  2.23142995e+005  2.23129548e+005  2.23124866e+005  2.23124732e+005  2.23126205e+005  2.23128910e+005  2.23133031e+005  2.23139053e+005  2.23148227e+005  2.23160874e+005  2.23174899e+005
