0.0000e+000	2.6457e-001	5.2914e-001	7.9372e-001	1.0583e+000	1.3229e+000	1.5874e+000	1.8520e+000	2.1166e+000	2.3811e+000	2.1064e+000	1.8317e+000	1.5569e+000	1.2822e+000	1.0074e+000	7.3266e-001	4.5791e-001	1.8317e-001	
4.9742e-002	3.1431e-001	5.7889e-001	8.4346e-001	1.1080e+000	1.3726e+000	1.6372e+000	1.9017e+000	2.1663e+000	2.4309e+000	2.1561e+000	1.8814e+000	1.6066e+000	1.3319e+000	1.0572e+000	7.8240e-001	5.0765e-001	2.3291e-001	
9.9484e-002	3.6406e-001	6.2863e-001	8.9320e-001	1.1578e+000	1.4223e+000	1.6869e+000	1.9515e+000	2.2161e+000	2.4806e+000	2.2059e+000	1.9311e+000	1.6564e+000	1.3816e+000	1.1069e+000	8.3214e-001	5.5740e-001	2.8265e-001	
1.4923e-001	4.1380e-001	6.7837e-001	9.4294e-001	1.2075e+000	1.4721e+000	1.7367e+000	2.0012e+000	2.2658e+000	2.5304e+000	2.2556e+000	1.9809e+000	1.7061e+000	1.4314e+000	1.1566e+000	8.8189e-001	6.0714e-001	3.3239e-001	
1.9897e-001	4.6354e-001	7.2811e-001	9.9268e-001	1.2573e+000	1.5218e+000	1.7864e+000	2.0510e+000	2.3155e+000	2.5801e+000	2.3054e+000	2.0306e+000	1.7559e+000	1.4811e+000	1.2064e+000	9.3163e-001	6.5688e-001	3.8213e-001	
2.4871e-001	5.1328e-001	7.7785e-001	1.0424e+000	1.3070e+000	1.5716e+000	1.8361e+000	2.1007e+000	2.3653e+000	2.6299e+000	2.3551e+000	2.0804e+000	1.8056e+000	1.5309e+000	1.2561e+000	9.8137e-001	7.0662e-001	4.3187e-001	
2.9845e-001	5.6302e-001	8.2760e-001	1.0922e+000	1.3567e+000	1.6213e+000	1.8859e+000	2.1505e+000	2.4150e+000	2.6796e+000	2.4049e+000	2.1301e+000	1.8554e+000	1.5806e+000	1.3059e+000	1.0311e+000	7.5636e-001	4.8162e-001	
3.4819e-001	6.1277e-001	8.7734e-001	1.1419e+000	1.4065e+000	1.6711e+000	1.9356e+000	2.2002e+000	2.4648e+000	2.7293e+000	2.4546e+000	2.1798e+000	1.9051e+000	1.6303e+000	1.3556e+000	1.0809e+000	8.0611e-001	5.3136e-001	
3.9794e-001	6.6251e-001	9.2708e-001	1.1917e+000	1.4562e+000	1.7208e+000	1.9854e+000	2.2499e+000	2.5145e+000	2.7791e+000	2.5043e+000	2.2296e+000	1.9548e+000	1.6801e+000	1.4053e+000	1.1306e+000	8.5585e-001	5.8110e-001	
4.5204e-001	7.1661e-001	9.8118e-001	1.2458e+000	1.5103e+000	1.7749e+000	2.0395e+000	2.3040e+000	2.5686e+000	2.8332e+000	2.5584e+000	2.2837e+000	2.0089e+000	1.7342e+000	1.4594e+000	1.1847e+000	9.0995e-001	6.3521e-001	
5.0615e-001	7.7072e-001	1.0353e+000	1.2999e+000	1.5644e+000	1.8290e+000	2.0936e+000	2.3581e+000	2.6227e+000	2.8873e+000	2.6125e+000	2.3378e+000	2.0630e+000	1.7883e+000	1.5136e+000	1.2388e+000	9.6406e-001	6.8931e-001	
5.6025e-001	8.2482e-001	1.0894e+000	1.3540e+000	1.6185e+000	1.8831e+000	2.1477e+000	2.4123e+000	2.6768e+000	2.9414e+000	2.6667e+000	2.3919e+000	2.1172e+000	1.8424e+000	1.5677e+000	1.2929e+000	1.0182e+000	7.4342e-001	
6.1436e-001	8.7893e-001	1.1435e+000	1.4081e+000	1.6726e+000	1.9372e+000	2.2018e+000	2.4664e+000	2.7309e+000	2.9955e+000	2.7208e+000	2.4460e+000	2.1713e+000	1.8965e+000	1.6218e+000	1.3470e+000	1.0723e+000	7.9752e-001	
6.6846e-001	9.3303e-001	1.1976e+000	1.4622e+000	1.7267e+000	1.9913e+000	2.2559e+000	2.5205e+000	2.7850e+000	3.0496e+000	2.7749e+000	2.5001e+000	2.2254e+000	1.9506e+000	1.6759e+000	1.4011e+000	1.1264e+000	8.5163e-001	
7.2257e-001	9.8714e-001	1.2517e+000	1.5163e+000	1.7809e+000	2.0454e+000	2.3100e+000	2.5746e+000	2.8391e+000	3.1037e+000	2.8290e+000	2.5542e+000	2.2795e+000	2.0047e+000	1.7300e+000	1.4552e+000	1.1805e+000	9.0573e-001	
7.7667e-001	1.0412e+000	1.3058e+000	1.5704e+000	1.8350e+000	2.0995e+000	2.3641e+000	2.6287e+000	2.8932e+000	3.1578e+000	2.8831e+000	2.6083e+000	2.3336e+000	2.0588e+000	1.7841e+000	1.5093e+000	1.2346e+000	9.5984e-001	
8.3078e-001	1.0953e+000	1.3599e+000	1.6245e+000	1.8891e+000	2.1536e+000	2.4182e+000	2.6828e+000	2.9474e+000	3.2119e+000	2.9372e+000	2.6624e+000	2.3877e+000	2.1129e+000	1.8382e+000	1.5634e+000	1.2887e+000	1.0139e+000	
8.8488e-001	1.1495e+000	1.4140e+000	1.6786e+000	1.9432e+000	2.2077e+000	2.4723e+000	2.7369e+000	3.0015e+000	3.2660e+000	2.9913e+000	2.7165e+000	2.4418e+000	2.1670e+000	1.8923e+000	1.6175e+000	1.3428e+000	1.0680e+000	
9.3899e-001	1.2036e+000	1.4681e+000	1.7327e+000	1.9973e+000	2.2618e+000	2.5264e+000	2.7910e+000	3.0556e+000	3.3201e+000	3.0454e+000	2.7706e+000	2.4959e+000	2.2211e+000	1.9464e+000	1.6716e+000	1.3969e+000	1.1222e+000	
9.9309e-001	1.2577e+000	1.5222e+000	1.7868e+000	2.0514e+000	2.3160e+000	2.5805e+000	2.8451e+000	3.1097e+000	3.3742e+000	3.0995e+000	2.8247e+000	2.5500e+000	2.2752e+000	2.0005e+000	1.7258e+000	1.4510e+000	1.1763e+000	
1.0472e+000	1.3118e+000	1.5763e+000	1.8409e+000	2.1055e+000	2.3701e+000	2.6346e+000	2.8992e+000	3.1638e+000	3.4283e+000	3.1536e+000	2.8788e+000	2.6041e+000	2.3294e+000	2.0546e+000	1.7799e+000	1.5051e+000	1.2304e+000	
1.0969e+000	1.3615e+000	1.6261e+000	1.8907e+000	2.1552e+000	2.4198e+000	2.6844e+000	2.9489e+000	3.2135e+000	3.4781e+000	3.2033e+000	2.9286e+000	2.6538e+000	2.3791e+000	2.1043e+000	1.8296e+000	1.5549e+000	1.2801e+000	
1.1467e+000	1.4113e+000	1.6758e+000	1.9404e+000	2.2050e+000	2.4695e+000	2.7341e+000	2.9987e+000	3.2633e+000	3.5278e+000	3.2531e+000	2.9783e+000	2.7036e+000	2.4288e+000	2.1541e+000	1.8793e+000	1.6046e+000	1.3298e+000	
1.1964e+000	1.4610e+000	1.7256e+000	1.9901e+000	2.2547e+000	2.5193e+000	2.7839e+000	3.0484e+000	3.3130e+000	3.5776e+000	3.3028e+000	3.0281e+000	2.7533e+000	2.4786e+000	2.2038e+000	1.9291e+000	1.6543e+000	1.3796e+000	
1.2462e+000	1.5107e+000	1.7753e+000	2.0399e+000	2.3045e+000	2.5690e+000	2.8336e+000	3.0982e+000	3.3627e+000	3.6273e+000	3.3526e+000	3.0778e+000	2.8031e+000	2.5283e+000	2.2536e+000	1.9788e+000	1.7041e+000	1.4293e+000	
1.2959e+000	1.5605e+000	1.8251e+000	2.0896e+000	2.3542e+000	2.6188e+000	2.8833e+000	3.1479e+000	3.4125e+000	3.6771e+000	3.4023e+000	3.1276e+000	2.8528e+000	2.5781e+000	2.3033e+000	2.0286e+000	1.7538e+000	1.4791e+000	
